ADC,P,Q
109,80.59055526843511,62.580270914541565
18,953.5498406504998,641.6967342019148
12,0.0058146087115321324,9.392020056741469
2,-6.662373410189546,9.713941077231881
106,25.1391914778062,38.68485076697257
90,9.13163836603484,18.20421626737388
52,389.90518672421365,292.62638420942983
34,48.40043665855059,47.976120880169205
96,-3.9097922030942422,8.088555843951472
68,61.76087578286405,53.48972908306825
92,2.9088049976148134,17.41533052796702
94,11.426077798679069,15.200576704696179
88,1.9448354741865577,13.240869970952362
102,47.59496311719841,47.02065809408573
9,46.46874215796875,47.10065610816219
73,67.39617235606525,57.00890560067236
77,74.41158891535446,109.71623100102515
3,49.350947007993085,49.16442919642299
